geo_id,geo_name,geo_type,sample_size,vulnerability_rate,median_gap,coverage_pct
06073009000,06073009000,tract,1389,29.877609791216702,-35379.869999999995,143.82587081387928
06073009101,06073009101,tract,2337,26.187419768934532,-52145.11,161.41934175321177
06073009102,06073009102,tract,2065,48.03874092009685,-3074.279999999999,104.03201606574027
06073009103,06073009103,tract,1566,31.28991060025543,-38261.54000000001,140.6874581774773
06073009104,06073009104,tract,1127,26.08695652173913,-48336.82999999999,151.7360982474841
06073009107,06073009107,tract,2436,41.6256157635468,-16407.04,120.68879300999164
06073009108,06073009108,tract,935,39.46524064171123,-17743.399999999994,123.94218092761066
06073009201,06073009201,tract,2320,52.28448275862069,4424.284999999996,94.48430010800195
06073009203,06073009203,tract,2493,34.05535499398315,-40193.53,143.23820241223186
06073009204,06073009204,tract,1378,38.46153846153847,-43535.594999999994,137.68174144189422
06073009301,06073009301,tract,1840,50.54347826086957,1230.0400000000081,99.13636034829476
06073009305,06073009305,tract,2351,31.263292216078263,-32456.899999999994,133.50644561690163
06073009306,06073009306,tract,2202,29.791099000908268,-42676.36,140.42020000894365
06073009307,06073009307,tract,2711,24.67724087052748,-36231.39,144.4284266277432
06073009308,06073009308,tract,2185,47.55148741418764,-2193.1600000000035,102.4045212665651
06073009400,06073009400,tract,513,75.04873294346979,54563.75,60.73326927818289
06073009502,06073009502,tract,1553,32.83966516419833,-41186.86,138.8159802977755
06073009504,06073009504,tract,2355,27.261146496815286,-76140.97,156.40228814694518
06073009505,06073009505,tract,2811,36.677339025257915,-26103.309999999998,126.3735574215631
06073009506,06073009506,tract,1588,34.697732997481104,-30075.940000000002,126.53714016217074
06073009507,06073009507,tract,1502,46.6711051930759,-5708.205000000002,105.22199646589256
06073009509,06073009509,tract,2519,36.681222707423586,-28766.0,126.41061639256586
06073009510,06073009510,tract,1167,87.40359897172236,73352.98,43.753029047042894
06073009511,06073009511,tract,970,83.60824742268042,69907.32999999999,53.87738085850231
06073009602,06073009602,tract,1656,33.21256038647343,-32113.210000000003,131.7013143672589
06073009603,06073009603,tract,3549,66.4130741053818,26115.009999999995,70.61487808649919
06073009604,06073009604,tract,1543,42.57939079714841,-10738.5,112.36817229029359
06073009703,06073009703,tract,1240,35.16129032258065,-37640.28,134.60799862045957
06073009704,06073009704,tract,2819,31.997162114224903,-30960.58,132.30261383711738
06073009705,06073009705,tract,1401,33.547466095645966,-44344.91,143.95630319049738
06073009706,06073009706,tract,2572,29.704510108864696,-47892.884999999995,145.93903368087027
06073009801,06073009801,tract,2126,28.31608654750706,-41335.165,146.26672779007905
06073009802,06073009802,tract,2445,46.053169734151325,-5663.1600000000035,105.46204997603617
06073009804,06073009804,tract,1926,34.008307372793354,-35255.625,132.29554518204225
06073009805,06073009805,tract,1862,40.762620837808804,-16176.770000000004,120.29910020387078
06073010001,06073010001,tract,1019,55.250245338567225,8762.89,92.443955126357
06073010003,06073010003,tract,1539,51.461988304093566,3511.8600000000006,96.77112078738185
06073010004,06073010004,tract,1095,57.44292237442923,12558.5,87.35953728475253
06073010005,06073010005,tract,2270,73.12775330396477,31532.03,47.992958759514146
06073010009,06073010009,tract,1439,66.92147324530924,25830.83,74.37694065701916
06073010010,06073010010,tract,1583,69.80416929879975,27143.309999999998,69.2862039615359
06073010011,06073010011,tract,1060,50.47169811320755,1935.2300000000032,97.96322101582024
06073010012,06073010012,tract,1297,55.589822667694676,8166.369999999995,92.48245152034359
06073010013,06073010013,tract,1580,75.8860759493671,35762.875,65.79400861402166
06073010015,06073010015,tract,1429,43.80685794261721,-16702.45000000001,114.39869240125489
06073010017,06073010017,tract,1821,48.105436573311366,-2539.399999999994,101.82548349095501
06073010018,06073010018,tract,2165,42.263279445727484,-15652.399999999994,115.2219832029533
06073010019,06073010019,tract,1053,41.21557454890788,-14949.270000000004,113.84386734863543
06073010103,06073010103,tract,2184,67.03296703296702,21171.350000000006,75.50687983480114
06073010104,06073010104,tract,1119,38.248436103663984,-21111.75,122.15635806865406
06073010106,06073010106,tract,1328,69.95481927710844,32904.20999999999,67.80314206402373
06073010107,06073010107,tract,1663,66.80697534576068,25652.67,75.47840648936187
06073010109,06073010109,tract,1114,54.57809694793537,6834.809999999998,93.87999746845811
06073010110,06073010110,tract,1997,71.80771156735103,36876.979999999996,65.21135314938621
06073010111,06073010111,tract,867,65.16724336793541,22530.22,74.82558093728845
06073010112,06073010112,tract,1491,78.9403085177733,38338.6,62.66954489231272
06073010201,06073010201,tract,1146,35.51483420593368,-18219.47,124.82536915866393
06073010202,06073010202,tract,1358,34.241531664212076,-24632.800000000003,128.44555088817071
06073010300,06073010300,tract,1518,52.70092226613966,5594.729999999996,93.65973106595877
06073010401,06073010401,tract,815,56.07361963190184,3823.3099999999977,95.2881688011356
06073010402,06073010402,tract,1813,62.38279095421952,17963.78,79.33974840904072
06073010501,06073010501,tract,549,28.96174863387978,-37045.36,148.42854217089007
06073010502,06073010502,tract,2142,63.86554621848739,17698.869999999995,79.88496902431885
06073010601,06073010601,tract,925,27.35135135135135,-83578.75,173.49290833305096
06073010800,06073010800,tract,966,34.679089026915115,-27308.009999999995,125.43350387265517
06073010900,06073010900,tract,618,33.33333333333333,-44285.245,145.88846274519875
06073011000,06073011000,tract,1425,46.59649122807018,-6257.929999999993,106.77420353416736
06073011100,06073011100,tract,1581,44.52877925363694,-16443.880000000005,114.51326166496814
06073011601,06073011601,tract,1666,61.88475390156063,19019.465000000004,79.65284198947018
06073011602,06073011602,tract,1314,69.86301369863014,27030.825,69.98384457148809
06073011700,06073011700,tract,2647,71.59047978843974,28325.17,63.30392851157065
06073011801,06073011801,tract,1100,58.18181818181818,17066.485,76.289450956998
06073011802,06073011802,tract,2045,73.34963325183375,31991.899999999994,60.12603787689865
06073011902,06073011902,tract,1899,52.60663507109005,2668.8499999999985,95.51898811080159
06073012002,06073012002,tract,1304,75.99693251533742,30266.105,56.353223284036446
06073012003,06073012003,tract,870,51.03448275862069,1331.0400000000009,98.46678252413092
06073012101,06073012101,tract,697,48.493543758967,-3349.3099999999977,105.08111510739265
06073012102,06073012102,tract,910,56.81318681318681,10066.354999999996,88.1510809611306
06073012200,06073012200,tract,944,65.9957627118644,20827.425000000003,71.87345360381869
06073012302,06073012302,tract,774,69.25064599483204,20290.059999999998,65.53429118083626
06073012303,06073012303,tract,1192,57.38255033557047,10723.849999999999,85.91761308274835
06073012304,06073012304,tract,1526,46.98558322411534,-6632.675000000003,106.51992804548888
06073012401,06073012401,tract,1198,55.84307178631052,8548.830000000002,90.34477526056455
06073012402,06073012402,tract,1918,63.7643378519291,18928.47,74.48680699288701
06073012501,06073012501,tract,1497,76.28590514362057,34558.66,54.84294910055409
06073012502,06073012502,tract,1696,67.15801886792453,20252.489999999998,74.39354229603651
06073012600,06073012600,tract,1526,62.38532110091744,24331.33,74.60071152902023
06073012700,06073012700,tract,1688,66.64691943127961,22641.914999999997,72.84978497166821
06073012800,06073012800,tract,1330,55.037593984962406,7283.25,89.90385106622118
06073012900,06073012900,tract,1124,44.128113879003564,-12302.645000000004,114.56713242749193
06073013000,06073013000,tract,1872,65.5448717948718,20194.640000000003,76.18413489941818
06073013102,06073013102,tract,2093,66.41184902054468,20627.58,77.17382292791469
06073013103,06073013103,tract,729,68.58710562414267,28320.179999999993,71.54132263008306
06073013104,06073013104,tract,1805,71.13573407202216,28210.22,66.59543459603495
